Unique Titles,Total Hours
Age of Empires II HD The Forgotten,1
Age of Empires III Complete Collection,1
Age of Mythology Extended Edition,1
Alice Madness Returns,1
Alien Isolation,1
America's Army 3,1
America's Army Proving Grounds,1
Amnesia A Machine for Pigs,1
Anachronox,1
Antichamber,1
App Game Kit,1
Arma 2 Operation Arrowhead Beta (Obsolete),1
Arma 2 Private Military Company,1
A Story About My Uncle,1
Audiosurf,1
Aveyond 3-1 Lord of Twilight,1
Awesomenauts,10.2
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-freeer DLC,1
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,1
Axis Game Factory's AGFPRO 3.0,1
Ballpoint Universe Infinite,1
Beatbuddy Tale of the Guardians,1
Beat Hazard,1
BEEP,1
Betrayer,1
BlazBlue Calamity Trigger,1
BlazBlue Continuum Shift Extend,1
Blockland,1
Borderlands,1
Borderlands DLC Claptraps New Robot Revolution,1
Borderlands DLC Mad Moxxi's Underdome Riot,1
Borderlands DLC The Secret Armory of General Knoxx,1
Borderlands DLC The Zombie Island of Dr. Ned,1
Braid,1
Breach & Clear,1
Breath of Death VII,0
Broken Age,1
Brothers - A Tale of Two Sons,1
Bulletstorm,1
Capsized,1
Castle Crashers,1
Child of Light,1
Cinders,1
Cities Skylines,1
Cloudbuilt,1
Command and Conquer 3 Kane's Wrath,1
Command and Conquer 3 Tiberium Wars,1
Command and Conquer Red Alert 3 - Uprising,1
Contagion,1
"Cook, Serve, Delicious!",1
Crayon Physics Deluxe,1
Cry of Fear,1
Cthulhu Saves the World,0
Daikatana,1
Darksiders,1
DARK SOULS II Scholar of the First Sin,1
Dead Island Riptide,15.6
Deadlight,1
Deadlight Original Soundtrack,1
Dead Space 2,1
Dear Esther,1
Democracy 3,1
Deus Ex Game of the Year Edition,1
Deus Ex Invisible War,1
Deus Ex The Fall,1
Devil May Cry 4,1
DiRT 3 Complete Edition,1
DmC Devil May Cry,1
Door Kickers,1
Draw a Stickman EPIC,1
E.Y.E Divine Cybermancy,1
Endless Space,1
English Country Tune,1
F.E.A.R. 3,1
F.E.A.R. Extraction Point,1
F.E.A.R. Perseus Mandate,1
Fallen Enchantress Legendary Heroes,1
Fallout 3,1
Far Cry,1
Far Cry 2 Fortunes Pack,1
FarSky,1
Fieldrunners 2,1
FINAL FANTASY III,1
FINAL FANTASY VIII,1
Finding Teddy,1
Finding Teddy Soundtrack,1
FRACT OSC,1
Galcon Fusion,1
Game Character Hub,1
GameGuru,1
GameGuru - Buildings Pack,1
Geometry Dash,1
Giana Sisters Twisted Dreams,1
Giana Sisters Twisted Dreams - Rise of the Owlverlord,1
Gigantic Army,1
Gods Will Be Watching,1
Gone Home,1
Gotham City Impostors Free To free,1
Gothic,1
Gothic 3,1
Gothic II Gold Edition,1
GRID,1
GRID 2 GTR Racing Pack,1
Guacamelee! Gold Edition,1
Guardians of Middle-earth,1
Half-Life,1
Half-Life 2 Deathmatch,3
Half-Life 2 Update,1
Half-Life Source,1
Hammerwatch,1
Hero Siege,1
Hitman 2 Silent Assassin,1
Hitman Blood Money,1
Hitman Codename 47,1
Hitman Contracts,1
Hitman Sniper Challenge,1
How to Survive,1
I am Bread,1
Injustice Gods Among Us Ultimate Edition,1
INK - Soundtrack + Art,1
Ittle Dew,1
Jack Lumber,1
Just Cause,1
Kane & Lynch 2 Dog Days,1
Kerbal Space Program,1
Killer is Dead,1
Kingdoms of Amalur Reckoning,1
Labyrinthine Dreams,1
Lara Croft and the Guardian of Light,1
Last Word,1
Legends of Persia,1
LEGO Batman The Videogame,1
LEGO Harry Potter Years 5-7,1
LEGO MARVEL Super Heroes,1
LIMBO,3.3
LISA,1
Little Inferno,1
Mass Effect 2,1
Max Payne 3,1
Mechanic Escape,1
Medal of Honor(TM) Multifreeer,46
Medal of Honor(TM) Single freeer,1
Medal of Honor Pre-Order,1
Mercenary Kings,1
METAL SLUG 3,1
Metro 2033 Redux,1
Mini Ninjas,1
Mitsurugi Kamui Hikae,1
